측정시간,내부 온도(°C),내부 습도(%),내부 일사량(W/m²),내부 현재 함수율(%),내부 수분 장력(kPa),외부 온도(°C),외부 습도(%),외부 일사량(W/m²),외부 풍향(°),외부 풍속(m/s),감우센서
2025-12-26 00:00:00,2.1,86.6,0.0,8.5,13.0,6551.3,74.5,0.0,4.2,3.2,1
2025-12-26 00:01:00,2.1,86.6,0.0,9.0,13.0,6551.3,76.0,0.0,3.5,3.0,1
2025-12-26 00:02:00,2.1,86.8,0.0,8.7,13.0,6551.2,79.1,0.0,4.0,5.3,1
2025-12-26 00:03:00,2.1,86.9,0.0,8.7,13.0,6550.9,82.3,0.0,4.0,4.5,1
2025-12-26 00:04:00,2.1,86.9,0.0,8.8,13.0,6550.7,84.4,0.0,4.2,4.7,1
2025-12-26 00:05:00,2.1,87.1,0.0,9.0,13.0,6550.5,86.3,0.0,4.0,3.5,1
2025-12-26 00:06:00,2.1,87.0,0.0,9.0,13.0,6550.4,87.7,0.0,4.0,3.7,1
2025-12-26 00:07:00,2.1,87.1,0.0,9.0,13.0,6550.3,88.8,0.0,4.2,3.8,1
2025-12-26 00:08:00,2.1,87.1,0.0,8.8,13.0,6550.2,89.6,0.0,4.0,4.0,1
2025-12-26 00:09:00,2.1,87.2,0.0,8.8,13.0,6550.2,90.3,0.0,4.0,3.7,1
2025-12-26 00:10:00,2.1,87.2,0.0,9.0,13.0,6550.2,90.9,0.0,4.2,4.0,1
2025-12-26 00:11:00,2.1,87.3,0.0,9.0,13.0,6550.1,91.4,0.0,4.5,5.2,1
2025-12-26 00:12:00,2.1,87.3,0.0,9.0,13.0,6550.1,91.9,0.0,4.0,3.8,1
2025-12-26 00:13:00,2.2,87.5,0.0,8.8,13.2,6550.1,92.3,0.0,3.8,2.7,1
2025-12-26 00:14:00,2.2,87.7,0.0,9.0,13.0,6550.1,92.7,0.0,4.3,3.7,1
2025-12-26 00:15:00,2.2,87.5,0.0,9.0,13.0,6550.1,93.0,0.0,4.3,3.0,1
2025-12-26 00:16:00,2.2,87.6,0.0,9.0,13.0,6550.1,93.2,0.0,4.2,3.5,1
2025-12-26 00:17:00,2.2,87.5,0.0,9.0,13.0,6550.1,93.5,0.0,4.0,3.0,1
2025-12-26 00:18:00,2.2,87.4,0.0,9.0,13.0,6550.1,93.7,0.0,4.0,4.0,1
2025-12-26 00:19:00,2.2,87.5,0.0,9.0,13.0,6550.1,93.8,0.0,4.2,2.8,1
2025-12-26 00:20:00,2.2,87.5,0.0,9.0,13.0,6550.1,94.0,0.0,4.2,2.7,1
2025-12-26 00:21:00,2.2,87.5,0.0,9.0,13.0,6550.1,94.1,0.0,4.2,2.2,1
2025-12-26 00:22:00,2.2,87.6,0.0,8.8,13.0,6550.1,94.2,0.0,3.8,3.7,1
2025-12-26 00:23:00,2.2,87.5,0.0,8.8,13.0,6550.1,94.3,0.0,3.5,2.2,1
2025-12-26 00:24:00,2.2,87.5,0.0,9.0,13.0,6550.1,94.5,0.0,4.2,2.3,1
2025-12-26 00:25:00,2.2,87.6,0.0,9.0,13.0,6550.1,94.6,0.0,3.8,2.2,1
2025-12-26 00:26:00,2.2,87.7,0.0,8.7,13.0,6550.1,94.7,0.0,3.8,1.5,1
2025-12-26 00:27:00,2.2,87.7,0.0,9.0,13.0,6550.1,94.8,0.0,4.0,1.8,1
2025-12-26 00:28:00,2.2,87.7,0.0,9.0,13.0,6550.1,94.9,0.0,4.3,1.5,1
2025-12-26 00:29:00,2.2,87.7,0.0,8.8,13.0,6550.1,95.0,0.0,4.0,1.8,1
2025-12-26 00:30:00,2.2,88.0,0.0,9.0,13.0,6550.1,95.0,0.0,3.5,1.7,1
2025-12-26 00:31:00,2.2,88.0,0.0,8.8,13.0,6550.1,95.1,0.0,3.8,2.2,1
2025-12-26 00:32:00,2.2,88.0,0.0,9.0,13.0,6550.1,95.2,0.0,4.2,2.0,1
2025-12-26 00:33:00,2.2,88.0,0.0,8.5,13.0,6550.1,95.2,0.0,3.8,1.5,1
2025-12-26 00:34:00,2.3,88.1,0.0,8.8,13.0,6550.1,95.3,0.0,3.5,2.5,1
2025-12-26 00:35:00,2.3,88.0,0.0,8.8,13.0,6550.1,95.3,0.0,4.2,1.8,1
2025-12-26 00:36:00,2.3,88.0,0.0,8.7,13.0,6550.1,95.4,0.0,4.0,2.0,1
2025-12-26 00:37:00,2.3,88.0,0.0,8.7,13.0,6550.1,95.5,0.0,4.0,2.8,1
2025-12-26 00:38:00,2.3,88.1,0.0,8.5,13.0,6550.1,95.5,0.0,3.7,1.7,1
2025-12-26 00:39:00,2.3,88.1,0.0,8.7,13.0,6550.1,95.6,0.0,3.8,1.2,1
2025-12-26 00:40:00,2.3,88.1,0.0,8.8,13.0,6550.2,95.6,0.0,3.7,1.3,1
2025-12-26 00:41:00,2.3,88.0,0.0,9.0,13.0,6550.2,95.7,0.0,4.0,1.8,1
2025-12-26 00:42:00,2.3,88.1,0.0,8.8,13.0,6550.2,95.7,0.0,3.7,1.8,1
2025-12-26 00:43:00,2.3,88.1,0.0,8.7,13.0,6550.2,95.8,0.0,3.8,1.2,1
2025-12-26 00:44:00,2.3,88.2,0.0,8.7,13.0,6550.2,95.8,0.0,4.5,2.2,1
2025-12-26 00:45:00,2.3,88.3,0.0,8.5,13.0,6550.2,95.8,0.0,4.7,3.0,1
